Gen 1:1  Na_początku stworzył Bóg ** niebo i_** ziemię.
Gen 1:18  I_aby_rządziły w_dzień i_w_nocy i_dzieliły między światłem i_między ciemnością. I_widział Bóg, że_dobre.
Gen 1:19  I_był_wieczór, i_był_ranek, dzień czwarty.
Gen 1:20  I_powiedział Bóg: Niech_zaroją_się wody rojem istot żyjących, a_ptactwo niech_lata nad_ziemią, na sklepieniu nieba.
Gen 1:21  I_stworzył Bóg **_potwory_wodne wielkie i_** wszelką_istotę żyjącą, pływającą, którą zaroiły_się wody, według_rodzaju_ich i_** wszelkie_ptactwo skrzydlate według_rodzaju_swego. I_widział Bóg, że_dobre.
Gen 1:22  I_pobłogosławił im Bóg mówiąc: Bądźcie_płodne i_rozmnażajcie_się i_napełniajcie **_wody w_morzach, a_ptactwo niech_mnoży_się na_ziemi.
Gen 1:23  I_był_wieczór i_był_ranek, dzień piąty
Gen 1:24  I_powiedział Bóg: Niech_wyda ziemia istotę żyjącą według_rodzaju_swego: bydło, i_płazy, i_zwierzę_[ziemi] lądowe według_rodzaju_swego. I_stało_się_tak.
Gen 1:25  I_uczynił Bóg. ** zwierzę [ziemi]lądowe według_rodzaju_swego i_**_bydło według_rodzaju_swego i_** wszelki_płaz ziemi według_rodzaju_swego. I_widział Bóg, że_dobre.
Gen 1:26  I_powiedział Bóg: Uczyńmy ludzi na_obraz_nasz podobnych_nam i_niech_panują nad_rybami morza, i_nad_ptactwem nieba, nad_bydłem, i_nad_całą_ziemią i_nad_wszelkim_płazem pełzającym po_ziemi,
Gen 1:27  I_stworzył Bóg człowieka na_obraz_swój, na_obraz Boga stworzył go, mężczyzną i_kobietą stworzył ich.
Gen 1:28  I_błogosławił im Bóg. I_powiedział do_nich Bóg. Bądźcie_płodni i_rozmnażajcie_się i_napełniajcie ziemię. I_ujarzmiajcie_ją. I_panujcie nad_rybami morza i_nad_ptactwem nieba i_nad_wszelkim_zwierzem pełzającym po_ziemi.
Gen 1:29  I_powiedział Bóg: Oto dałem wam **_wszelkie_ziele rozsiewające nasienie, które na_powierzchni całej_ziemi, i_**_wszelkie_drzewo, (w)_którym_[w_nim] owoc_drzewa, rozsiewający nasienie, wam niech_będzie na_pokarm.
Gen 1:30  A_dla_wszelkiego_zwierza ziemi i_dla_wszelkiego_ptactwa nieba i_dla_wszelkiego pełzającego po_ziemi, (w)_którym_[w_nim] istota żyjąca, **_wszelka_zielona trawa na_pokarm. I_stało_się_tak.
Gen 1:31  I_widział Bóg **_wszystko_co uczynił. I_oto_(było)_dobre bardzo. I_był_wieczór, i_był_ranek, dzień szósty.
Gen 2:1  I_skończone_było[y] niebo i_ziemia i_wszystek_zastęp_ich.
Gen 2:2  I_skończył Bóg w_dniu siódmym dzieło_swoje, które uczynił. I_odpoczął w_dniu siódmym od_całego_dzieła_swego, które uczynił.
Gen 2:3  I_pobłogosławił Bóg **_dzień siódmy i_uświęcił **_go, bo w_nim odpoczął od_całego_dzieła_swego, które_stworzył Bóg, aby_uczynić.
Gen 2:4  Takie_oto narodziny nieba i_ziemi przy_stwarzaniu_ich w_dniu (kiedy)_uczynił JHWH Bóg ziemię i_niebo.
Gen 2:5  I_żadnego krzewu polnego jeszcze_nie było na_ziemi i_żadna_trawa polna jeszcze_nie wyrosła, bo nie spuścił_deszczu JHWH Bóg na_ziemię, a_człowieka nie_(było), aby_uprawiał **_ziemię.
Gen 2:6  I_mgła wzniosła_się z_ziemi i_zrosiła **_całą_powierzchnię_ziemi.
Gen 2:7  I_ulepił JHWH Bóg**_człowieka (z)_prochu z_ziemi i_tchnął w_nos_jego oddech życia i_stał_się człowiek istotą żyjącą.
Gen 2:8  I_zasadził JHWH Bóg ogród_w_Eden na_wschód i_umieścił tam człowieka, którego ulepił.
Gen 2:9  I_(sprawił_że)_wyrosło JHWH Bóg z_ziemi wszelkie_drzewo miłe do_patrzenia i_dobre do_jedzenia i_drzewo życia w_środku ogrodu, i_drzewo poznania dobrego i_złego.
Gen 2:10  I_strumień wypływa z_Eden, aby_nawadniać **_ogród i_stamtąd rozdzielał_się i_był_(podzielony) na_cztery główne_(strumienie).
Gen 2:11  Nazwa jednego Piszon, on okrąża** cały_kraj Chawila, (w)_którym_(jest)_[tam] złoto.
Gen 2:12  A_złoto kraju tego dobre. Tam_(jest_też) bdelium i_kamień szoham
Gen 2:13  A_nazwa_strumienia drugiego Gichon, on okrąża ** cały_kraj Kusz
Gen 2:14  A_nazwa strumienia trzeciego Chiddekel, on biegnie na_wschód Asyrii. A_strumieniem czwartym [on]_(jest) Prat.
Gen 2:15  I_wziął JHWH Bóg **_człowieka i_osadził w_ogrodzie_Eden, aby_uprawiał_go i_aby_strzegł_go.
Gen 2:16  I_przykazał JHWH Bóg **_człowiekowi mówiąc: Z_każdego drzewa_ogrodu [jedząc] będziesz_jadł,
Gen 2:17  ale_z_drzewa poznania dobrego i_złego nie jedz z_niego, bo w_dniu (kiedy)_zjesz z_niego umierając, umrzesz.
Gen 2:18  I_powiedział JHWH Bóg: Nie_dobrze, aby_był człowiek sam, uczynię_dla_niego pomoc odpowiednią_jemu.
Gen 2:19  I_ulepił JHWH Bóg z_ziemi wszelkie_zwierzę pola i_** wszelkie_ptactwo nieba. I_przyprowadził do_człowieka, aby_zobaczyć jak_nazwie_go (każde), a_każdego, którego nazwie_[go] człowiek istotą żyjącą (takie_będzie) imię_jego.
Gen 2:20  I_nazwał człowiek imionami wszelkie_bydło i_ptactwo nieba i_wszelkie zwierzę pola, ale_dla_człowieka nie_znalazł pomocy odpowiedniej_jemu.
Gen 2:21  I_spuścił JHWH Bóg głęboki_sen na_człowieka i_zasnął. I_wziął jedno z_żeber_jego i_zamknął ciałem pod_nim.
Gen 2:22  I_zbudował JHWH Bóg (z)_**_żebra, które_wziął z_człowieka na_kobietę, i_przyprowadził_ją do_człowieka.
Gen 2:23  I_powiedział człowiek: Tym razem_(jest_to) kość z_kości_moich i_ciało z_ciała_mego. Ta zostanie_nazwana kobietą, bo z_męża wzięta_(jest)_ta.
Gen 2:24  Dlatego opuści_mąż **_ojca_swego i_**_matkę_swoją a_przylgnie do_żony_swej i_będą ciałem jednym.
Gen 2:25  I_byli oboje nadzy człowiek i_żona_jego i_nie wstydzili_się.
Gen 3:1  A_wąż był najprzebieglejszy z_wszelkiego zwierza pola, które uczynił JHWH, Bóg, i_powiedział do_kobiety: Czy naprawdę_powiedział Bóg: Nie jedzcie z_żadnego drzewa ogrodu?
Gen 3:2  I_powiedziała kobieta do_węża: Z_owocu drzew_ogrodu możemy_jeść,
Gen 3:3  ale_z_owocu drzewa, które_(jest) w_środku_ogrodu, powiedział Bóg nie jedzcie z_niego i_nie dotykajcie go, abyście_nie_umarli!
Gen 3:4  I_powiedział wąż do_kobiety:(Umrzeć)_nie umrzecie.
Gen 3:5  Bo wie Bóg, że w_dniu zjedzenia_waszego z_niego, i_otworzą_się oczy_wasze i_będziecie jak_Bóg poznającymi dobre i_złe.
Gen 3:6  I_widziała kobieta, że dobre drzewo do_jedzenia, i_że smaczne_ono dla_oczu i_miłe drzewo do_pożądania, i_wzięła z_owocu_jego, i_jadła, i_dała także_mężowi_swemu (będącemu)_z_nią, i_jadł.
Gen 3:7  I_otworzyły_się oczy obojga, i_poznali, że nagimi oni_(są), i_spletli liście drzewa_figowego, i_uczynili dla_siebie opaski.
Gen 3:8  I_usłyszeli **_głos JHWH Boga przechadzającego_się w_ogrodzie przy_powiewie dnia i_ukryli_się Adam i_żona_jego przed_obliczem JHWH Bogiem pośród drzew ogrodu.
Gen 3:9  I_zawołał JHWH Bóg do_Adama, i_powiedział do_niego: Gdzie_[jesteś_ty]
Gen 3:10  I_odpowiedział: **_Głos_Twój słyszałem w_ogrodzie i_przestraszyłem_się, bo_nagi [ja]_(jestem), i_ukryłem_się.
Gen 3:11  I_powiedział: Kto powiedział ci, że nagi [ty]_(jesteś)? Czy_z_drzewa, (z)_którego przykazałem_ci nie jeść_z_niego zjadłeś?
Gen 3:12  I_powiedział Adam: Kobieta, którą dałeś (aby_była)_ze_mną, ona dała_mi z_drzewa i_jadłem.
Gen 3:13  I_powiedział JHWH Bóg do_kobiety: Cóż_to uczyniłaś? I_powiedziała kobieta: Wąż zwiódł_mnie i_jadłam.
Gen 3:14  I_powiedział JHWH Bóg do_węża: Ponieważ uczyniłeś to, przeklęty [ty]_(będziesz) z_wszelkiego_bydła i_z_wszelkiego zwierza pola; na_brzuchu_twoim będziesz_czołgał_się i_proch będziesz_jadł (przez)_wszystkie_dni życia_twego
Gen 3:15  I_nienawiść kładę między_tobą i_między kobietą, i_między nasienie_twoje a_między nasienie_jej: on zmiażdży_ci głowę, a_ty zranisz_mu piętę.
Gen 3:16  Do_kobiety powiedział: Bardzo pomnożę bóle_twoje, i_ciąży_twojej, w_bólach będziesz_rodziła synów i_do_męża będzie_pożądanie_twoje a_on będzie_panować_nad_tobą.
Gen 3:17  A_do_Adama rzekł: Bo_posłuchałeś głosu żony_twojej i_zjadłeś z_drzewa, (z)_którego przykazałem_ci mówiąc: Nie będziesz_jadł z_niego. Niech_będzie_przeklęta ziemia z_powodu_ciebie, w_trudzie będziesz_jadł_(z)_niej (przez)_wszystkie dni życia_twego.
Gen 3:18  A_oset i_cierń będzie_wzrastać ci i_będziesz_jadł **_ziele pola.
Gen 3:19  W_pocie oblicza_twego będziesz_jadł chleb, aż powrócisz do_ziemi, bo z_niej zostałeś_wzięty, bo_prochem [ty]_(jesteś) i_do_prochu powrócisz.
Gen 3:20  I_nadał Adam imię żonie_swej: Ewa, bo ona była matką wszystkich_żyjących.
Gen 3:21  I_uczynił JHWH Bóg dla_Adama i_dla_żony_jego okrycia (ze)_skóry i_ubrał_ich.
Gen 3:22  I_powiedział JHWH Bóg: Oto człowiek stał_się jak_jeden z_nas, (w)_poznaniu dobrego i_złego. A_teraz aby_nie_wyciągnął ręki_swej i_(nie)_wziął także z_drzewa życia, i_nie_jadł, i_żył na_wieki.
Gen 3:23  I_wygnał_go JHWH Bóg z_ogrodu_Eden, aby_uprawiał **_ziemię, (z)_której został_wzięty stamtąd.
Gen 3:24  I_wypędził **_człowieka i_umieścił na_wschód do_ogrodu_Eden **_cherubów, i_** płomienny miecz wirujący aby_strzegł **_drogi (do)_drzewa życia.
Gen 4:1  A_Adam poznał**_Ewę, żonę_swoją, i_poczęła i_urodziła **_Kaina, i_powiedziała: Nabyłam mężczyznę**_(od)_JHWH.
Gen 4:2  I_uczyniła_znowu aby_urodzić **_brata_jego **_Abla. A_był_Abel pilnującym trzody, a_Kain był uprawiającym ziemię.
Gen 4:3  I_stało_się z_końcem dni, i_przyniósł Kain z_owoców ziemi ofiarę dla_JHWH.
Gen 4:4  A_Abel przyniósł także_on z_pierworodnych trzody_swojej i_z_tłuszczu_ich. I_spojrzał JHWH na_Abla i_na_ofiarę_jego.
Gen 4:5  A_na_Kaina i_na_ofiarę_jego nie spojrzał. I_rozgniewał_się Kain bardzo i_spuścił oblicze_swoje.
Gen 4:6  I_powiedział JHWH do_Kaina: Dlaczego rozgniewany (jesteś) i_dlaczego spuściłeś oblicze_swoje?
Gen 4:7  Czy_nie_(jest_tak:) jeśli_będziesz_dobrze_(postępował) podniesiesz_się, a_jeśli nie będziesz_dobrze_(postępował) przy_bramie grzech położy_się, i_do_ciebie skłonność_jego a_ty masz_panować_nad_nim.
Gen 4:8  I_powiedział Kain do_Abla brata_swego. I_stało_się, (gdy)_byli_oni w_polu, i_powstał Kain przeciw_Ablowi bratu_swemu, i_zabił_go.
Gen 4:9  I_powiedział JHWH do_Kaina: Gdzie Abel brat_twój? I_odpowiedział: Nie wiem czy_strzegącym brata_mego ja_(jestem)?
Gen 4:10  I_powiedział: Co uczyniłeś? Głos krwi brata_twego woła do_mnie z_tej_ziemi.
Gen 4:11  A_teraz przeklęty ty_(jesteś), z_ziemi, która otworzyła 4.11 **_wnętrze_swoje, aby_wziąć **_krew brata_twojego z_ręki_twojej.
Gen 4:12  Bo będziesz_uprawiać **_tę_ziemię, nie_będzie_dalej dawać_siły_swej dla_ciebie. Tułaczem i_zbiegiem będziesz na_ziemi.
Gen 4:13  I_powiedział Kain do_JHWH: Wielki grzech_mój do_dźwigania.
Gen 4:14  Oto wypędzasz mnie dzisiaj z oblicza tej_ziemi i_sprzed_oblicza_twego ukryję_się, i_będę tułaczem i_zbiegiem na_ziemi, i_stanie_się każdy_(kto)_spotka_mnie, zabije_mnie.
Gen 4:15  I_powiedział mu JHWH: Dlatego każdy_(kto)_zabije Kaina, siedmiokrotnie będzie_ukarany. I_dał JHWH dla_Kaina znak, (aby)_nie zabijał_go każdy_(kto)_spotka_go.
Gen 4:16  I_odszedł Kain sprzed_oblicza JHWH i_osiadł w_ziemi_Nod, (na)_wschód_(od)_Edenu.
Gen 4:17  I_poznał Kain **_żonę_swoją i_poczęła, i_urodziła **_Henocha. I_stało_się (że)_budując miasto, i_nadał imię temu_miastu (takie)_jak_imię syna_jego Henoch.
Gen 4:18  I_urodził_się Henochowi **_Irad, a_Iradowi urodził_się Mechujael. A_Mechujaelowi urodził_się **_Metuszael, a_Metuszaelowi urodził_się **_Lamech.
Gen 4:19  I_wziął_sobie Lamech dwie żony, imię jednej Ada, a_imię drugiej Cilla.
Gen 4:20  I_urodziła Ada **_Jawala, on był ojcem mieszkającego (w)_namiocie i_(przy)_stadzie.
Gen 4:21  A_imię brata_jego Juwal, on był ojcem każdego_grającego (na)_cytrze i_flecie.
Gen 4:22  A_Cilla także_ona urodziła **_Tuwal_Kaina, kującego wszelakie_pocięte (z)_miedzi i_żelaza. A_siostrą Tuwal_Kaina (była)_Naama.
Gen 4:23  I_powiedział Lamech do_żon_swoich: Ad i_Cill, słuchajcie głosu_mego, żony Lamecha! Dajcie_ucho mowie_mojej, bo męża zabiłem za_zranienie_mnie i_chłopca za_uderzenie_mnie.
Gen 4:24  Bo siedmiokrotnie (był)_pomszczony_Kain, a_Lamech siedemdziesiąt i_siedem_(razy).
Gen 4:25  I_poznał Adam jeszcze**_swoją i_urodziła syna, i_nazwała **_imię_jego Set, bo dał_mi Bóg potomstwo inne zamiast Abla, bo zabił_go Kain.
Gen 4:26  A_Setowi także_[on]_(jemu) urodził_się_syn, i_nazwał **_imię_jego Enosz. Wtedy zaczęto wzywać [w]_imię JHWH.
Gen 5:1  To_(jest) spis potomków Adama. W_dniu (kiedy)_stworzył Bóg Adama, na_podobieństwo Boga uczynił go.
Gen 5:2  Mężczyzną i_kobietą stworzył_ich i_błogosławił ich, i_nazwał **_imię_ich ludzie w_dniu stworzenia_ich.
Gen 5:3  I_przeżył Adam trzydzieści i_sto lat, i_zrodził na_podobieństwo_swoje, jak_obraz_swój i_nazwał **_imię_jego Set.
Gen 5:4  I_były dni_Adama po zrodzeniu_jego **_Seta, osiemset ** lat, i_zrodził synów i_córki.
Gen 5:5  I_były wszystkie_dni Adama, (w)_których_żył dziewięćset ** lat i_trzydzieści lat i_umarł.
Gen 5:6  I_żył_Set pięć lat i_sto lat i_zrodził **_Enosza.
Gen 5:7  I_żył_Set po zrodzeniu_go **_Enosza siedem lat i_osiemset ** lat i_zrodził synów i_córki.
Gen 5:8  I_były wszystkie_dni_Seta dwanaście (i)_** lat i_dziewięćset ** lat i_umarł.
Gen 5:9  I_żył Enosz dziewięćdziesiąt lat i_zrodził **_Kenana.
Gen 5:10  I_żył Enosz po zrodzeniu_go **_Kenana piętnaście ** lat i_osiemset ** lat, i_zrodził synów i_córki.
Gen 5:11  I_były wszystkie_dni Enosza pięć lat i_dziewięćset ** lat i_umarł.
Gen 5:12  I_żył Kenan siedemdziesiąt lat, i_zrodził **_Mahalalela.
Gen 5:13  I_żył Kenan po zrodzeniu_go **_Mahalalela czterdzieści lat i_osiemset ** lat, i_zrodził synów i_córki.
Gen 5:14  I_były wszystkie_dni Kenana dziesięć lat i_dziewięćset ** lat i_umarł.
Gen 5:15  I_żył Mahalalel pięć lat i_sześćdziesiąt lat i_zrodził **_Jareda.
Gen 5:16  I_żył Mahalalel po zrodzeniu_go **_Jareda trzydzieści lat i_osiemset ** lat, i_zrodził synów i_córki.
Gen 5:17  I_były wszystkie_dni Mahalalela pięć i_dziewięćdziesiąt lat i_osiemset ** lat i_umarł.
Gen 5:18  I_żył_Jered dwa i_sześćdziesiąt lat i_sto lat i_zrodził **_Henocha.
Gen 5:19  I_żył_Jered po zrodzeniu_go **_Henocha osiemset ** lat i_zrodził synów i_córki.
Gen 5:20  I_były wszystkie_dni_Jereda dwa i_sześćdziesiąt lat i_dziewięćset ** lat i_umarł.
Gen 5:21  I_żył Henoch pięć i_sześćdziesiąt lat i_zrodził **_Metuszalecha.
Gen 5:22  I_chodził Henoch (z)_**_Bogiem po zrodzeniu_go **_Metuszalecha trzysta ** lat, i_zrodził synów i_córki.
Gen 5:23  I_były wszystkie_dni Henocha pięć i_sześćdziesiąt lat i_trzysta ** lat.
Gen 5:24  I_chodził Henoch (z)_**_Bogiem, i_nie_było_go, bo_zabrał go Bóg
Gen 5:25  I_żył Metuszelach siedem i_osiemdziesiąt lat, i_sto lat, i_zrodził **_Lamecha.
Gen 5:26  I_żył Metuszelach po zrodzeniu_go **_Lamecha dwa **_osiemdziesiąt lat i_siedemset ** lat, i_zrodził synów i_córki.
Gen 5:27  I_były wszystkie_dni Metuszalecha dziewięć i_sześćdziesiąt lat i_dziewięćset ** lat i_umarł.
Gen 5:28  I_żył Lamech dwa i_osiemdziesiąt lat, i_sto lat i_zrodził syna.
Gen 5:29  I_nazwał **_imię_jego Noego, mówiąc: Ten pocieszy_nas od_prac_naszych i_od_trudów rąk_naszych z_ziemi, którą przeklął_ją JHWH.
Gen 5:30  I_żył_Lamech po zrodzeniu_go **_Noego pięć i_dziewięćdziesiąt lat i_pięćset ** lat, i_zrodził synów i_córki.
Gen 5:31  I_były wszystkie_dni_Lamecha siedem i_siedemdziesiąt lat i_siedemset ** lat i_umarł.
Gen 5:32  I_stało_się,_(że)_Noe **_(miał)_pięćset ** lat, i_zrodził Noe **_Sema **_Chama i_**_Jafeta.
Gen 6:1  I_stało_się kiedy_zaczęli_się ludzie rozmnażać na_powierzchni ziemi, i_córki zrodziły_się im.
Gen 6:2  I_widzieli synowie_boscy **_córki ludzkie, że ładne one_(są), i_wzięli dla_siebie żony z_wszystkich, które wybrali.
Gen 6:3  I_powiedział JHWH: Nie_pozostanie duch_mój w_człowieku na_zawsze, ponieważ on_(jest) ciałem, i_będą dni_jego sto i_dwadzieścia lat.
Gen 6:4  Olbrzymi byli na_ziemi w_owych_dniach, oni, a_także potem, kiedy przyszli synowie boscy do_córek człowieka i_urodziły im. Oto_oni potężni, którzy od_wieków (są)_mężami imienia.
Gen 6:5  I_widział JHWH, że wielkie zło człowieka na_ziemi, a_każda_skłonność myśli serca_jego tylko zła każdego_dnia.
Gen 6:6  I_żałował JHWH, że_uczynił **_człowieka na_ziemi, i_zasmucił_się w_sercu_swoim.
Gen 6:7  I_powiedział JHWH: Zgładzę **_człowieka, którego_stworzyłem z powierzchni ziemi, od_człowieka do_bydła, do_płazów, i_do_ptaków niebios, bo żałuję, że uczyniłem_ich.
Gen 6:8  A_Noe znalazł łaskę w_oczach JHWH.
Gen 6:9  Oto dzieje Noego. Noe był_mężem sprawiedliwym, nieskazitelnym był wśród_pokolenia_swego, **_(z)_Bogiem chodził_Noe.
Gen 6:10  I_zrodził Noe trzech synów: **_Sema, **_Chama i_**_Jafeta.
Gen 6:11  I_skażona_była ziemia przed Bogiem, i_napełniła_się ziemia bezprawiem.
Gen 6:12  I_widział Bóg **_ziemię i_oto była_skażona, bo_skaziło wszelkie_ciało **_drogę_swoją na_ziemi.
Gen 6:13  I_powiedział Bóg do_Noego: Koniec wszelkiego_ciała przyszedł przed_oblicze_moje, bo_napełniła_się ziemia bezprawiem przez_nich, i_oto_ja wygubię_ich **_(z)_ziemi.
Gen 6:14  Uczyń sobie arkę (z)_drzewa_gofer, przegrody zrób (w)_**_arce i_posmołuj ją z_wewnątrz i_z_zewnątrz smołą.
Gen 6:15  A_to, jak uczynisz ją: trzy setki łokci (będzie)_długość arki, pięćdziesiąt łokci szerokość_jej i_trzydzieści łokci wysokość_jej.
Gen 6:16  Otwór uczynisz w_arce i_na_łokieć będzie_zakończona z_wierzchu. A_drzwi arki w_boku_jej umieścisz. Spód, drugie, i_trzecie_(piętro) uczynisz.
Gen 6:17  A_ja oto, sprowadzam **_potop wody na_ziemię, aby_wygubić wszelkie_ciało, (w)_którym_[w_nim] tchnienie życia spod, nieba, wszystko, co_na_ziemi wyginie.
Gen 6:18  Ale_ustanowię **_przymierze_moje z_tobą, i_wejdziesz do_arki, ty i_synowie_twoi i_żona_twoja i_żony_synów_twoich (z)_tobą.
Gen 6:19  A_z_wszystkiego_co_żyje, z_wszelkiego_ciała, (po)_dwoje z_wszystkiego przyprowadzisz do_arki, aby_zostały_zachowane z_tobą, samiec i_samica niech_będą.
Gen 6:20  Z_ptactwa według_gatunku_jego, i_z_bydła według_gatunku_jego, z_wszystkiego pełzającego (na)_ziemi według_gatunku_jego (po)_dwoje z_wszystkiego wejdą do_ciebie, aby_zostały_zachowane.
Gen 6:21  A_ty weź_sobie z_wszelkiego_pokarmu, który będzie_jedzony i_zgromadź u_siebie, i_będzie dla_ciebie i_dla_nich na_pokarm.
Gen 6:22  I_uczynił Noe wszystko, co przykazał mu Bóg, tak uczynił.
Gen 7:1  I_powiedział JHWH do_Noego: Wejdź_ty i_cały_dom_twój, do_arki, bo_ciebie widziałem sprawiedliwym przede_mną w_pokoleniu tym
Gen 7:2  Ze_wszelkiego bydła czystego weź_(ze)_sobą (po)_siedem, siedem_(razy) samca i_samicę_jego a_z_bydła, które nie_(jest) czyste ** (po)_dwoje, samiec i_samica_jego.
Gen 7:3  Także z_ptactwa nieba (po)_siedem, siedem męskiego i_żeńskiego, aby_zachować_życie potomstwa na_powierzchni całej_ziemi.
Gen 7:4  Bo po_dniach jeszcze siedmiu ja spuszczę_deszcz na_ziemię (przez)_czterdzieści dni i_czterdzieści nocy i_zniszczę **_wszelki_byt, który uczyniłem z_[nad] powierzchni ziemi.
Gen 7:5  I_uczynił Noe wszystko, co_nakazał_mu JHWH.
Gen 7:6  A_Noe **_(miał)_sześćset ** lat, kiedy_potop był wody na_ziemi.
Gen 7:7  I_wszedł Noe i_synowie_jego i_żona_jego i_żony_synów_jego z_nim do_arki przed wodami potopu.
Gen 7:8  Z_bydła czystego i_z_bydła, które nie_(jest) czyste, i_z_ptactwa, i_wszystkiego, co_pełzające po_ziemi.
Gen 7:9  Po [dwoje] dwoje przyszli do_Noego do_arki: męskie i_żeńskie jak nakazał Bóg **_Noemu.
Gen 7:10  I_stało_się po_siedmiu dniach i_wody potopu były nad_ziemią.
Gen 7:11  W_roku sześćsetnym ** życia_Noego, w_miesiącu drugim, w_siedemnastym dniu miesiąca w_dzień ten wytrysnęły wszystkie_źródła otchłani wielkiej a_spusty nieba otworzyły_się.
Gen 7:12  I_był deszcz na_ziemię (przez)_czterdzieści dni czterdzieści nocy.
Gen 7:13  W_(ten)_właśnie dzień [ten] wszedł Noe i_Set_i_Cham i_Jafet, synowie_Noego, i_żona Noego, i_trzy żony_synów_jego, z_nimi do_arki.
Gen 7:14  Oni i_wszelki_zwierz według_rodzaju_swego i_wszelkie_bydło, według_swego_rodzaju_swojego i_wszelki_płaz pełzający na_ziemi według_rodzaju_swego, i_wszystkie_ptactwo, według_rodzaju_swego, każdy ptak, wszelkie_skrzydlate.
Gen 7:15  I_weszli do_Noego do_arki po_[dwoje] dwoje z_wszelkiego_ciała, (w)_którym_[w_nim]_(było) tchnienie życia.
Gen 7:16  I_(ci_wchodzący (byli)_męskim i_żeńskim, z_wszelkiego_ciała weszli, jak nakazał mu Bóg, i_zamknął JHWH za_nim.
Gen 7:17  I_był potop czterdzieści dni na_ziemi i_wzrastały wody i_unosiły **_arkę i_się_wznosiła nad ziemią.
Gen 7:18  I_wzmogły_się wody i_wzrastały bardzo nad_ziemią i_poruszała_się arka na_powierzchni wody.
Gen 7:19  A_wody wzmogły_się bardzo, bardzo nad_ziemią i_zostały_zakryte wszystkie_góry wysokie, które_pod całym_niebem.
Gen 7:20  (Na)_pięć (i)_dziesięć łokci wzwyż wzmogły wody zostały_zakryte góry
Gen 7:21  I_wyginęło wszelkie_ciało, pełzające na_ziemi, z_ptactwa i_z_bydła, i_ze_zwierza, i_z_wszelkiego_roju rojącego_się na_ziemi, i_wszyscy ludzie.
Gen 7:22  Wszystko, które_(miało) tchnienie życia w_nozdrzach_swoich, ze_wszystkiego, co_(było) na_suchym_lądzie, wymarło.
Gen 7:23  I_zgładził **_wszystek_byt, który_(był) na_powierzchni ziemi, od_człowieka aż_do_bydła, aż_do_płazów i_aż_do_ptactwa nieba. I_zostały_zgładzone z_ziemi. I_pozostał tylko_Noe i_(ci)_którzy_(byli) z_nim w_arce.
Gen 7:24  I_wzmagały_się wody nad_ziemią pięćdziesiąt i_sto [dzień] dni.
Gen 8:1  I_wspomniał Bóg **_Noego i_** wszelkie_zwierzę, **_wszelkie_bydło, które (było) z_nim w_arce. I_sprowadził Bóg wiatr na_ziemię i_opadły wody.
Gen 8:2  I_zamknęły_się źródła otchłani i_otwory nieba i_zakończył_się deszcz z_nieba.
Gen 8:3  I_wróciły wody znad ziemi, idąc i_wracając i_opadły wody z_końcem pięćdziesiątego i_stu [dzień] dni.
Gen 8:4  I_spoczęła arka w_miesiącu siódmym siedemnastego dnia miesiąca na górach Ararat.
